,aX,aY,aZ,gX,gY,gZ
275,-34.486,3.141,4.219,1.46,-0.281,-0.215
276,-35.439,4.08,3.812,1.674,-0.854,0.003
277,-35.602,4.559,3.179,1.852,-1.34,0.219
278,-34.429,4.487,2.48,2.003,-1.875,0.456
279,-32.82,4.152,2.485,2.043,-2.242,0.572
280,-30.852,3.812,3.026,2.027,-2.628,0.636
281,-27.94,3.519,4.219,1.94,-3.204,0.659
282,-25.604,3.366,5.258,1.847,-3.676,0.648
283,-23.138,3.127,6.263,1.743,-4.162,0.617
284,-19.58,2.528,7.436,1.596,-4.366,0.539
285,-16.759,1.887,7.977,1.466,-4.366,0.442
286,-13.791,1.144,8.126,1.302,-4.366,0.308
287,-9.558,-0.005,7.676,0.997,-4.366,0.077
288,-6.249,-1.015,6.771,0.689,-4.366,-0.13
289,-3.141,-2.16,5.708,0.32,-4.366,-0.36
290,0.378,-3.807,4.19,-0.235,-3.501,-0.684
291,2.409,-5.047,3.146,-0.666,-2.599,-0.926
292,4.257,-6.565,2.03,-1.219,-1.415,-1.234
293,5.028,-7.508,1.369,-1.599,-0.626,-1.444
294,5.267,-8.212,0.843,-1.944,0.047,-1.628
295,4.812,-8.82,0.311,-2.349,0.757,-1.819
296,3.946,-9.055,-0.048,-2.612,1.162,-1.91
297,2.701,-9.146,-0.354,-2.839,1.483,-1.949
298,0.551,-9.084,-0.522,-3.08,1.81,-1.921
299,-1.369,-8.878,-0.359,-3.21,1.992,-1.838
300,-3.5,-8.562,0.081,-3.292,2.12,-1.701
301,-6.541,-8.059,1.001,-3.321,2.204,-1.438
302,-8.844,-7.709,1.844,-3.282,2.199,-1.19
303,-11.775,-7.403,2.998,-3.15,2.105,-0.81
304,-13.752,-7.326,3.812,-2.997,1.974,-0.507
305,-15.467,-7.369,4.539,-2.802,1.798,-0.204
306,-17.233,-7.542,5.387,-2.485,1.503,0.174
307,-18.143,-7.676,5.938,-2.211,1.242,0.428
308,-18.684,-7.791,6.393,-1.91,0.953,0.654
309,-18.852,-7.91,6.8,-1.473,0.546,0.909
310,-18.608,-7.973,6.934,-1.122,0.245,1.063
311,-17.909,-8.03,6.91,-0.636,-0.121,1.221
312,-17.176,-8.021,6.766,-0.269,-0.35,1.308
313,-13.063,-7.432,5.191,1.168,-0.663,1.439
314,-11.952,-6.91,4.64,1.531,-0.508,1.427
315,-11.339,-6.364,4.281,1.775,-0.33,1.413
316,-10.894,-5.473,3.663,2.068,-0.02,1.398
317,-10.783,-4.717,2.816,2.272,0.277,1.393
318,-10.965,-3.855,2.064,2.47,0.638,1.395
319,-11.937,-2.389,2.006,2.712,1.14,1.425
320,-13.178,-1.053,2.346,2.879,1.465,1.478
321,-14.777,0.397,2.648,3.044,1.736,1.566
322,-17.262,2.313,2.806,3.273,2.022,1.737
323,-19.23,3.563,2.825,3.45,2.174,1.894
324,-21.136,4.559,2.868,3.624,2.251,2.053
325,-23.396,5.511,3.031,3.83,2.184,2.233
326,-24.775,6.053,3.136,3.946,1.977,2.322
327,-25.819,6.565,3.189,4.02,1.628,2.366
328,-26.662,7.254,3.136,4.042,0.958,2.361
