,aX,aY,aZ,gX,gY,gZ
233,-9.151,-1.144,0.742,-0.29,0.022,0.008
234,-9.155,-1.149,0.742,-0.288,0.018,0.012
235,-9.165,-1.14,0.752,-0.285,0.013,0.017
236,-9.175,-1.125,0.742,-0.283,0.009,0.021
237,-9.179,-1.116,0.742,-0.28,0.003,0.026
238,-9.189,-1.111,0.742,-0.277,-0.001,0.029
239,-9.194,-1.097,0.723,-0.275,-0.006,0.032
240,-9.208,-1.082,0.723,-0.273,-0.012,0.036
241,-9.218,-1.068,0.718,-0.272,-0.016,0.038
242,-9.222,-1.049,0.709,-0.271,-0.018,0.04
243,-9.237,-1.025,0.704,-0.271,-0.02,0.041
244,-9.251,-1.015,0.709,-0.273,-0.021,0.042
245,-9.27,-0.991,0.713,-0.275,-0.022,0.042
246,-9.29,-0.953,0.709,-0.28,-0.022,0.042
247,-9.294,-0.939,0.713,-0.285,-0.021,0.042
248,-9.313,-0.915,0.723,-0.292,-0.021,0.041
249,-9.318,-0.895,0.713,-0.298,-0.021,0.039
250,-9.323,-0.881,0.713,-0.305,-0.022,0.037
251,-9.318,-0.852,0.718,-0.314,-0.027,0.035
252,-9.313,-0.838,0.733,-0.321,-0.031,0.032
253,-9.299,-0.824,0.737,-0.327,-0.037,0.028
254,-9.285,-0.804,0.747,-0.337,-0.048,0.024
255,-9.256,-0.795,0.771,-0.344,-0.058,0.02
256,-9.218,-0.776,0.79,-0.353,-0.072,0.014
257,-9.194,-0.761,0.814,-0.359,-0.084,0.009
258,-9.155,-0.752,0.843,-0.365,-0.097,0.005
259,-9.103,-0.752,0.876,-0.373,-0.116,-0.001
260,-9.05,-0.747,0.891,-0.377,-0.129,-0.007
261,-8.997,-0.752,0.905,-0.381,-0.142,-0.012
262,-8.921,-0.761,0.939,-0.386,-0.157,-0.019
263,-8.859,-0.776,0.967,-0.388,-0.167,-0.024
264,-8.787,-0.785,0.986,-0.389,-0.177,-0.032
265,-8.734,-0.795,1.001,-0.389,-0.181,-0.039
266,-8.686,-0.809,1.02,-0.388,-0.183,-0.045
267,-8.619,-0.828,1.044,-0.384,-0.181,-0.053
268,-8.566,-0.843,1.068,-0.38,-0.176,-0.059
269,-8.528,-0.862,1.092,-0.375,-0.167,-0.065
270,-8.432,-0.967,1.178,-0.333,-0.086,-0.09
271,-8.447,-0.996,1.192,-0.322,-0.061,-0.094
272,-8.466,-1.02,1.202,-0.306,-0.022,-0.099
273,-8.495,-1.039,1.207,-0.293,0.01,-0.103
274,-8.552,-1.063,1.231,-0.276,0.055,-0.108
275,-8.619,-1.082,1.245,-0.263,0.091,-0.11
276,-8.691,-1.101,1.255,-0.25,0.127,-0.112
277,-8.787,-1.125,1.269,-0.234,0.177,-0.113
278,-8.868,-1.149,1.283,-0.221,0.212,-0.113
279,-8.969,-1.164,1.293,-0.208,0.247,-0.112
280,-9.103,-1.178,1.302,-0.191,0.29,-0.109
281,-9.199,-1.197,1.302,-0.178,0.318,-0.106
282,-9.337,-1.211,1.326,-0.159,0.351,-0.1
283,-9.443,-1.226,1.35,-0.145,0.371,-0.095
284,-9.538,-1.24,1.369,-0.129,0.387,-0.089
285,-9.663,-1.25,1.389,-0.108,0.402,-0.081
286,-9.759,-1.259,1.389,-0.092,0.407,-0.074
287,-9.831,-1.274,1.384,-0.074,0.41,-0.066
288,-9.926,-1.279,1.389,-0.05,0.408,-0.056
289,-9.984,-1.279,1.389,-0.032,0.401,-0.049
290,-10.056,-1.274,1.408,-0.006,0.388,-0.037
291,-10.089,-1.264,1.422,0.015,0.373,-0.029
292,-10.118,-1.259,1.432,0.036,0.355,-0.02
293,-10.132,-1.245,1.441,0.066,0.327,-0.009
294,-10.123,-1.24,1.446,0.089,0.303,-0.0
295,-10.094,-1.24,1.446,0.114,0.278,0.007
296,-10.051,-1.231,1.451,0.147,0.244,0.017
297,-10.003,-1.221,1.46,0.173,0.218,0.023
298,-9.955,-1.216,1.456,0.2,0.195,0.028
299,-9.878,-1.197,1.451,0.236,0.167,0.032
300,-9.816,-1.188,1.432,0.262,0.15,0.034
301,-9.754,-1.188,1.417,0.288,0.138,0.035
302,-9.677,-1.173,1.403,0.321,0.129,0.034
303,-9.615,-1.168,1.393,0.345,0.129,0.031
304,-9.558,-1.164,1.389,0.367,0.135,0.027
305,-9.5,-1.164,1.365,0.394,0.153,0.022
306,-9.467,-1.154,1.355,0.413,0.172,0.016
307,-9.438,-1.149,1.331,0.429,0.198,0.01
308,-9.438,-1.13,1.298,0.448,0.24,0.001
309,-9.452,-1.116,1.274,0.461,0.276,-0.005
310,-9.5,-1.101,1.255,0.475,0.328,-0.014
311,-9.548,-1.092,1.231,0.482,0.369,-0.02
312,-9.61,-1.077,1.211,0.488,0.411,-0.025
313,-9.711,-1.063,1.188,0.492,0.467,-0.03
314,-9.792,-1.049,1.178,0.493,0.507,-0.033
315,-9.883,-1.034,1.154,0.491,0.544,-0.034
316,-10.022,-1.015,1.13,0.485,0.588,-0.034
317,-10.132,-1.006,1.116,0.479,0.616,-0.033
318,-10.242,-0.996,1.106,0.469,0.64,-0.031
319,-10.396,-0.972,1.082,0.454,0.664,-0.026
320,-10.52,-0.958,1.068,0.441,0.675,-0.021
321,-10.63,-0.958,1.039,0.426,0.68,-0.016
322,-10.769,-0.939,1.02,0.406,0.677,-0.008
323,-10.87,-0.924,1.015,0.388,0.669,-0.001
324,-10.961,-0.919,1.015,0.372,0.655,0.005
325,-11.056,-0.9,1.01,0.35,0.628,0.014
326,-11.205,-0.891,1.025,0.283,0.485,0.034
327,-11.205,-0.891,1.025,0.266,0.432,0.036
328,-11.186,-0.895,1.034,0.254,0.392,0.035
329,-11.152,-0.895,1.053,0.244,0.354,0.033
330,-11.09,-0.9,1.077,0.232,0.306,0.028
331,-11.023,-0.905,1.101,0.225,0.273,0.023
332,-10.961,-0.915,1.116,0.219,0.244,0.016
333,-10.86,-0.919,1.154,0.213,0.211,0.006
334,-10.769,-0.919,1.173,0.21,0.19,-0.003
335,-10.678,-0.924,1.192,0.209,0.174,-0.013
336,-10.549,-0.915,1.231,0.211,0.159,-0.027
337,-10.453,-0.91,1.25,0.213,0.151,-0.038
338,-10.348,-0.905,1.264,0.216,0.145,-0.049
339,-10.204,-0.91,1.288,0.223,0.142,-0.064
340,-10.099,-0.91,1.298,0.23,0.141,-0.076
341,-9.96,-0.91,1.317,0.24,0.143,-0.091
342,-9.859,-0.91,1.326,0.248,0.145,-0.102
343,-9.768,-0.91,1.336,0.257,0.148,-0.112
344,-9.653,-0.915,1.36,0.268,0.155,-0.126
345,-9.567,-0.919,1.36,0.276,0.161,-0.137
346,-9.491,-0.924,1.341,0.283,0.167,-0.146
347,-9.409,-0.924,1.331,0.292,0.18,-0.158
348,-9.352,-0.924,1.312,0.297,0.19,-0.167
